State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Households_with_Internet,Households_with_Computer,Rural_Households,Urban_Households,Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Literate_Education,Illiterate_Education,sex_ratio,literacy_rate
Andhra Pradesh,Anantapur,14.312065561843148,77.46015844785771,553,4081148,2064495,2016653,2310960,8606,48299,902997,341431,1244428,462273,720357,582075,331793,162175,144915,23341,2426929,1369069,97.68262940816035,56.62524368143473
Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886038,554,4174064,2090204,2083860,2667878,13763,67087,907970,395900,1303870,522961,770836,673197,548336,265199,246409,36017,3062955,1170993,99.69648895514504,63.915598802509976
Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,545,5154296,2569688,2584608,3288577,22411,93784,1199479,406362,1605841,669420,947606,797497,521562,271809,263023,47702,3518619,1524603,100.58061523422299,63.80264152466215
Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,548,4887813,2440521,2447292,2960441,19383,80434,1069877,513113,1582990,736270,845810,674957,453446,246580,221924,30279,3209266,1474349,100.27744075957553,60.56780404651324
Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,547,4517398,2267375,2250023,3009718,30438,101450,909292,567042,1476334,618101,692968,630603,531821,312753,328454,54728,3169428,1352499,99.2347097414411,66.62503503122815
Andhra Pradesh,Kurnool,15.437597151424288,77.90086836581717,552,4053463,2039227,2014236,2127161,10081,56478,783853,306982,1090835,521327,672951,466940,271828,152453,115504,19282,2220285,1517933,98.77448660693489,52.47762222080231
Andhra Pradesh,Prakasam,15.489039001601704,80.11665790176184,549,3397448,1714764,1682684,1904435,6151,43611,873486,214089,1087575,489805,495556,368919,249034,142026,133627,21976,1900943,1218310,98.12918862304085,56.054868242280676
Andhra Pradesh,Srikakulam,18.570900998697432,84.25874814010676,542,2703114,1341738,1361376,1495381,3988,32280,752752,149684,902436,291793,348354,319244,251521,146721,121213,21031,1499877,1009992,101.46362404582715,55.32067829917643
Andhra Pradesh,Vizianagaram,18.28329696032972,83.45982854198874,543,2344474,1161477,1182997,1238388,4453,24128,592458,157056,749514,250446,300057,257468,186576,115144,103591,27041,1240323,1031683,101.85281327137774,52.82157106455435
Andhra Pradesh,West Godavari,16.63297943925236,81.45912990654196,546,3936966,1964918,1972048,2652389,12050,55613,1007255,248373,1255628,595331,718960,585595,415178,215863,207586,33329,2771842,1028767,100.36286501523219,67.37139716218022
